name;caption;brand;valume;description;precautionary;composition;price;category;image
Black Cumin;100% органическое  масло черного тмина;Branishtov;50 мл.;Масло черного тмина принадлежит к категории очень ценных растительных основ в ароматерапии. Это удивительно невкусное масло, но при этом его применение отнюдь не ограничено исключительно наружными методами. Базу из семян нигеллы активно употребляют внутрь, и в течение многовековой практики сложилось мнение, что с помощью черного тмина можно вылечить практически любое заболевание, в первую очередь проблемы, связанные с воспалительными процессами или вызванные нарушением иммунитета.;Избегайте попадания в глаза. В случае появления индивидуальной непереносимости прекратите применение. Хранить в тёмном месте при t° от 0° C до 20° C.;натуральное масло черного тмина.;350,00 ₽;based oil;branishtov_10.jpg
Jojoba;100% органическоемасло жожоба;Branishtov;50 мл.;Жожоба — пожалуй, единственное базовое масло, которое после впитывания не оставляет жирного блеска на коже, и что еще более удивительно — на волосах. При этом восхитительное нежное масло образует на коже достаточно прочный защитный слой. Его не случайно чаще используют для косметических средств, чем для массажа или аппликаций, ведь оно очень быстро проникает в кожу.;Избегайте попадания в глаза. В случае появления индивидуальной непереносимости прекратите применение. Хранить в тёмном месте при t° от 0° C до 20° C.;100% органическое масло жожоба;350,00 ₽;based oil;branishtov_13.jpg
Crabme;100% органическое масло Абиссинской горчицы;Branishtov;50 мл.;Масло семян Абиссинской горчицы по своей структуре очень легкое, мгновенно впитывается, не забивая поры и не оставляя жирного блеска, увлажняет и разглаживает кожу. Восстанавливает защитный липидный слой, нормализует процесс кератизации. Противостоит негативному воздействию раздражающих факторов внешней окружающей среды, уменьшает воспалительные реакции, тонизирует.;Избегайте попадания в глаза. В случае появления индивидуальной непереносимости прекратите применение. Хранить в тёмном месте при t° от 0° C до 20° C.;100% органическое масло Абиссинской горчицы;350,00 ₽;based oil;branishtov_14.jpg
Argan;100% органическоеаргановое масло;Branishtov;50 мл.;Марокканское аргановое масло выделяется абсолютным преобладанием косметологических свойств над целебными характеристиками. Сфера применения арганы связана с терапевтическим и профилактическим воздействием на кожные покровы, на состояние волос и ногтей, при этом активные защитные и восстанавливающие функции базы не знают равных даже среди других редких масел. Это ценное масло, в составе которого встречаются уникальные природные антибиотики, принадлежит к самым востребованным основам в ароматерапии.;Избегайте попадания в глаза. В случае появления индивидуальной непереносимости прекратите применение. Хранить в тёмном месте при t° от 0° C до 20° C.;100% органическое аргановое масло;350,00 ₽;based oil;branishtov_11.jpg
Rasberry Seed;100% органическоемасло семян малины;Branishtov;50 мл.;Масло семян малины – одно из самых стойких и стабильных базовых масел. Оно содержит все важные для кожи жирные кислоты и выделяется богатым витаминным и минеральным составом. Данное масло сочетает легкость, невесомость и хорошие питательные свойства с прекрасными защитными способностями. Сегодня его считают одной из редких баз, подходящих для использования в жаркое время года, и одним из лучших растительных средств для лечения кожных заболеваний и для улучшения состояния эпидермиса.;Избегайте попадания в глаза. В случае появления индивидуальной непереносимости прекратите применение. Хранить в тёмном месте при t° от 0° C до 20° C.;100% органическоемасло семян малины;350,00 ₽;based oil;branishtov_12.jpg
Baobab;100% органическое масло баобаба;Branishtov;50 мл.;Баобаб считается одним из самых эффективных средств для ухода за чувствительной раздраженной кожей. Сухая, обезвоженная, пострадавшая от солнечных ванн, стареющая, истощенная, потерявшая тургор и эластичность кожа благодаря этому маслу буквально преображается. Но в целом оно подходит для работы с любым типом кожи, нуждающимся в увлажнении. Основное направление воздействия масла – непосредственное увлажнение, происходящее прежде всего на клеточном уровне, восстанавливающее глубокие слои эпидермиса.;Избегайте попадания в глаза. В случае появления индивидуальной непереносимости прекратите применение. Хранить в тёмном месте при t° от 0° C до 20° C.;100% органическое масло баобаба;350,00 ₽;based oil;branishtov_15.jpg
Grape Seed;100% органическое  масло виноградных косточек;Branishtov;100 мл.;"Масло виноградной косточки применяется при уходе за всеми типами кожи (жирной, смешанной, сухой), а так же дряблой, стареющей, поврежденной, чувствительной, раздраженной, шелушащейся, в том числе кожей лица и губ, при потере тургора кожи и наличии морщин. Является невысыхающим маслом; прекрасно впитывается кожей; обладает высокой биологической активностью (содержит самый сильный естественный антиоксидант, известный науке, благодаря которому оказывает омолаживающее действие и замедляет процессы старения).";Избегайте попадания в глаза. В случае появления индивидуальной непереносимости прекратите применение. Хранить в тёмном месте при t° от 0° C до 20° C.;натуральное масло виноградныхых косточек.;400,00 ₽;based oil;branishtov_1.jpg
Sweet Almonds;100% органическое  масло сладкого миндаля;Branishtov;100 мл.;В косметической практике миндально масло очень ценно. Оно подходит для ухода за кожей любого типа, сухой, чувствительной, увядающей, стареющей, обветренной, в том числе лица и шеи, для отбеливания, устранения морщин, а так же для поддержания упругости бедер, живота, бюста, ягодиц, при нарушении липидного и водного баланса кожи, уход за ушами (серные пробки), уход за волосами, для придания им гибкости и эластичности, а так же для укрепления корней и стимулирования роста волос.;Избегайте попадания в глаза. В случае появления индивидуальной непереносимости прекратите применение. Хранить в тёмном месте при t° от 0° C до 20° C.;натуральное масло сладкого миндаля.;400,00 ₽;based oil;branishtov_2.jpg
Apricot;100% органическое  масло абрикосовых косточек;Branishtov;100 мл.;Абрикосовое масло прекрасное подходит для всех типов кожи, особенно для сухой, чувствительной, раздраженной и преждевременно состарившейся. Хотя его и можно использовать неразбавленным (в 100% виде) как несущее масло, его обычно добавляют к смеси благодаря замечательным питательным свойствам. Это прекрасный выбор для кожи лица. Абрикосовое масло обладает легкой текстурой, хороший источник витаминов и минеральных веществ.;Избегайте попадания в глаза. В случае появления индивидуальной непереносимости прекратите применение. Хранить в тёмном месте при t° от 0° C до 20° C.;натуральное масло абрикосовых косточек.;400,00 ₽;based oil;branishtov_3.jpg
Peach;100% органическое  персиковое масло;Branishtov;100 мл.;Это масло тонизирует, осветляет, мягко снимает воспаления, питает и увлажняет кожу, оказывает общее омолаживающее воздействие, но при этом основное преимущество базы из персиковых косточек — комплексность и системность влияния на состояние эпидермиса. Быстро и глубоко проникая в клетки, стимулируя обновление и регенерацию, оно способствует качественному налаживанию местного обмена веществ, кровоснабжения и дыхания и через внутренние перемены улучшает характеристики кожи.;Избегайте попадания в глаза. В случае появления индивидуальной непереносимости прекратите применение. Хранить в тёмном месте при t° от 0° C до 20° C.;натуральное масло персиковое.;400,00 ₽;based oil;branishtov_7.jpg
